               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041839,             0.14505,             0.01232,             0.84155,             0.30618,             0.42967,             0.29425,             0.03677,              0.0964,            0.012575,           0.0097343,           0.0097343,           0.0097343
                  37,            0.041227,             0.14448,            0.011789,             0.94423,             0.31745,             0.45054,             0.27489,            0.038909,            0.098313,            0.012206,           0.0097191,           0.0097191,           0.0097191
                  38,            0.041155,             0.14607,            0.011568,              0.9633,             0.30039,             0.41188,             0.29367,            0.035795,            0.095095,             0.01329,           0.0097035,           0.0097035,           0.0097035
                  39,            0.041358,             0.14493,            0.011353,             0.85218,             0.30823,             0.43703,              0.2902,            0.037945,             0.10259,            0.012712,           0.0096875,           0.0096875,           0.0096875
                  40,             0.04181,             0.14265,            0.011198,             0.96094,             0.30726,             0.43688,             0.30929,            0.035357,            0.096674,            0.013008,            0.009671,            0.009671,            0.009671
                  41,            0.040767,              0.1414,            0.011099,             0.85441,             0.33279,             0.44432,             0.32069,            0.035496,            0.095308,            0.011768,           0.0096542,           0.0096542,           0.0096542
                  42,            0.041227,             0.14185,            0.010895,             0.83177,             0.38491,             0.47069,             0.33155,            0.035806,            0.096028,            0.011551,           0.0096369,           0.0096369,           0.0096369
                  43,            0.041254,             0.14459,            0.010434,             0.86513,             0.33888,             0.46384,             0.32089,            0.035451,            0.094483,             0.01205,           0.0096193,           0.0096193,           0.0096193
                  44,            0.041538,             0.14045,            0.010754,             0.86967,             0.31955,             0.47523,             0.32843,            0.036631,            0.096439,            0.012399,           0.0096013,           0.0096013,           0.0096013
                  45,            0.041386,             0.14204,            0.010864,             0.93974,             0.33663,             0.50416,              0.3342,            0.038345,            0.099383,            0.011444,           0.0095828,           0.0095828,           0.0095828
                  46,            0.041029,             0.14388,            0.010488,             0.87181,             0.34549,             0.49533,             0.35119,            0.035498,            0.095941,            0.011101,            0.009564,            0.009564,            0.009564
                  47,            0.041198,             0.14543,            0.010196,             0.94677,             0.33442,             0.47258,             0.33793,            0.035259,              0.0948,            0.011954,           0.0095448,           0.0095448,           0.0095448
                  48,            0.040381,             0.14228,            0.010304,             0.96938,             0.33248,             0.48407,             0.34675,            0.035613,              0.0946,            0.012255,           0.0095252,           0.0095252,           0.0095252
                  49,            0.040939,             0.13707,           0.0097338,             0.75642,             0.44956,             0.50214,             0.35247,            0.035167,            0.096172,            0.012142,           0.0095052,           0.0095052,           0.0095052
                  50,            0.040338,             0.14163,           0.0098724,             0.87181,             0.41169,             0.55055,             0.38662,            0.035102,            0.094307,             0.01148,           0.0094849,           0.0094849,           0.0094849
                  51,            0.041087,             0.14205,           0.0098805,             0.94407,             0.36541,             0.51421,             0.36939,              0.0361,             0.09734,            0.012693,           0.0094641,           0.0094641,           0.0094641
                  52,            0.041413,               0.143,           0.0097983,             0.75527,             0.40456,             0.52398,             0.35449,            0.037386,             0.10036,            0.011033,            0.009443,            0.009443,            0.009443
                  53,            0.040906,             0.14515,           0.0095153,             0.79431,             0.43861,             0.53601,             0.37785,            0.036125,            0.097241,            0.010815,           0.0094215,           0.0094215,           0.0094215
                  54,            0.040695,             0.14401,           0.0089181,             0.94027,             0.38572,             0.52199,             0.35916,            0.037244,            0.099738,            0.011196,           0.0093996,           0.0093996,           0.0093996
                  55,            0.040267,             0.14041,           0.0089585,             0.91394,             0.40322,             0.54254,             0.36659,              0.0382,             0.10079,            0.011474,           0.0093773,           0.0093773,           0.0093773
                  56,             0.04063,             0.14158,           0.0089861,             0.79239,             0.42273,             0.53791,             0.39278,            0.035234,            0.097532,            0.011042,           0.0093547,           0.0093547,           0.0093547
                  57,            0.040321,             0.13905,           0.0091031,             0.82166,             0.42659,             0.56169,             0.41964,            0.034663,             0.09614,            0.010861,           0.0093317,           0.0093317,           0.0093317
                  58,             0.04014,             0.14066,           0.0085127,             0.81358,             0.48274,             0.57643,             0.42057,            0.034682,            0.094503,             0.01194,           0.0093083,           0.0093083,           0.0093083
                  59,            0.039793,             0.13819,           0.0087345,             0.76294,             0.44227,             0.56969,              0.4241,            0.034794,            0.094543,            0.011407,           0.0092846,           0.0092846,           0.0092846
                  60,            0.038917,             0.13605,           0.0084903,             0.80786,             0.43279,             0.54984,             0.40022,             0.03508,            0.094962,            0.011024,           0.0092605,           0.0092605,           0.0092605
                  61,            0.040745,             0.14131,            0.008434,             0.72646,             0.48881,             0.57484,             0.42376,            0.034687,            0.094158,            0.011239,           0.0092361,           0.0092361,           0.0092361
                  62,            0.040007,             0.13988,           0.0083501,             0.81597,             0.43012,             0.56323,             0.41113,            0.035021,            0.097028,            0.010952,           0.0092113,           0.0092113,           0.0092113
                  63,            0.039102,             0.13678,           0.0084899,             0.78459,             0.43217,             0.56328,             0.40475,            0.035266,            0.095163,            0.010148,           0.0091861,           0.0091861,           0.0091861
                  64,            0.039839,             0.13781,           0.0080967,             0.86186,             0.38188,             0.53318,             0.39777,            0.034986,            0.095199,            0.012184,           0.0091606,           0.0091606,           0.0091606
                  65,            0.039598,             0.13811,           0.0081125,              0.8368,              0.4325,             0.56365,             0.40375,            0.035289,            0.096082,            0.011309,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040143,              0.1402,           0.0081466,             0.82738,             0.42135,             0.58275,             0.41777,              0.0359,            0.095667,            0.010666,           0.0091086,           0.0091086,           0.0091086
                  67,            0.039612,             0.13676,           0.0080446,             0.54692,             0.62169,             0.58354,             0.41464,             0.03622,            0.096438,            0.011568,           0.0090821,           0.0090821,           0.0090821
                  68,            0.039381,             0.13813,           0.0077308,             0.92587,             0.50526,             0.65324,             0.46443,            0.036379,            0.098517,            0.010681,           0.0090552,           0.0090552,           0.0090552
                  69,            0.038981,              0.1365,           0.0076602,              0.7332,             0.51056,             0.60423,             0.44747,             0.03496,            0.095763,            0.011333,            0.009028,            0.009028,            0.009028
                  70,            0.039679,             0.14003,           0.0078116,             0.65318,             0.56085,             0.62752,             0.45613,            0.034602,            0.095006,            0.010625,           0.0090004,           0.0090004,           0.0090004
                  71,            0.039629,             0.14115,           0.0076601,             0.79992,              0.5201,             0.60802,             0.43905,            0.035961,            0.097866,            0.010825,           0.0089726,           0.0089726,           0.0089726
                  72,            0.038733,             0.13791,           0.0078085,             0.76761,             0.51879,             0.59433,             0.45127,            0.035014,            0.096031,            0.010389,           0.0089444,           0.0089444,           0.0089444
                  73,            0.039386,             0.13742,           0.0074848,             0.68861,             0.59734,             0.62768,             0.48847,             0.03442,            0.094794,            0.010418,           0.0089159,           0.0089159,           0.0089159
                  74,            0.038059,             0.13379,           0.0074636,             0.75582,             0.60128,              0.6329,             0.46943,            0.035801,            0.096503,            0.010212,            0.008887,            0.008887,            0.008887
                  75,            0.039896,             0.13809,           0.0072549,             0.71229,             0.54572,             0.62695,              0.4596,            0.035652,            0.095644,           0.0098285,           0.0088579,           0.0088579,           0.0088579
                  76,            0.039131,             0.13349,           0.0072948,             0.80852,             0.56095,             0.65269,              0.4763,            0.035462,             0.09625,            0.010298,           0.0088284,           0.0088284,           0.0088284
                  77,            0.039506,             0.13824,           0.0071286,             0.72918,             0.62377,              0.6561,              0.4858,            0.036047,            0.097406,           0.0098216,           0.0087987,           0.0087987,           0.0087987
                  78,            0.039605,             0.13894,           0.0074137,             0.76027,             0.62409,             0.71786,             0.51276,            0.037333,            0.096942,           0.0099473,           0.0087686,           0.0087686,           0.0087686
                  79,            0.038503,             0.13346,           0.0070044,             0.80748,             0.62009,             0.69317,             0.49054,            0.036476,            0.097759,            0.010298,           0.0087382,           0.0087382,           0.0087382
                  80,            0.038208,             0.13485,           0.0067849,             0.77793,             0.58117,             0.66187,             0.49906,            0.035015,            0.094938,            0.010771,           0.0087075,           0.0087075,           0.0087075
                  81,            0.038958,             0.13557,           0.0070899,             0.69139,             0.61577,             0.67444,             0.51067,            0.034655,            0.094303,            0.011435,           0.0086765,           0.0086765,           0.0086765
                  82,            0.038338,             0.13427,           0.0067594,             0.74822,             0.57895,             0.67723,             0.51015,            0.034428,            0.094368,           0.0099185,           0.0086452,           0.0086452,           0.0086452
                  83,            0.038599,             0.13204,           0.0067056,             0.54528,             0.61132,              0.6404,             0.48416,            0.034567,            0.094316,           0.0094449,           0.0086137,           0.0086137,           0.0086137
                  84,            0.037508,             0.12935,           0.0066759,              0.6868,             0.60736,             0.63564,             0.49379,            0.034592,            0.096324,            0.010183,           0.0085818,           0.0085818,           0.0085818
                  85,            0.038851,             0.13338,           0.0067552,             0.68226,             0.68932,             0.70274,             0.53089,            0.034456,            0.094237,           0.0093369,           0.0085497,           0.0085497,           0.0085497
                  86,            0.037978,             0.13505,           0.0063507,             0.72385,             0.68757,             0.72169,             0.54131,            0.036142,            0.095967,            0.011363,           0.0085173,           0.0085173,           0.0085173
                  87,            0.038354,             0.13374,           0.0064481,             0.80623,             0.58583,             0.66567,             0.49139,            0.035518,            0.094668,           0.0095445,           0.0084846,           0.0084846,           0.0084846
                  88,              0.0383,             0.13304,           0.0067062,             0.86496,              0.5073,             0.62151,             0.47382,            0.034794,              0.0948,            0.009894,           0.0084516,           0.0084516,           0.0084516
                  89,            0.038918,             0.13438,            0.006414,             0.67043,             0.61724,             0.69117,             0.50057,            0.034481,            0.095235,            0.009443,           0.0084184,           0.0084184,           0.0084184
                  90,            0.038442,             0.13525,           0.0064389,             0.73806,             0.57227,             0.65848,             0.49404,            0.035069,            0.094894,           0.0098503,           0.0083849,           0.0083849,           0.0083849
                  91,            0.039068,             0.13656,           0.0061386,             0.75656,             0.57176,              0.6666,             0.50847,            0.035389,            0.094292,            0.010195,           0.0083511,           0.0083511,           0.0083511
                  92,             0.03886,             0.13744,           0.0063855,             0.70541,               0.671,             0.70075,             0.52178,            0.035296,            0.095242,            0.010397,           0.0083171,           0.0083171,           0.0083171
                  93,            0.037612,             0.13168,           0.0061456,             0.69139,             0.64377,             0.67991,             0.52336,            0.035145,            0.097427,            0.010007,           0.0082829,           0.0082829,           0.0082829
                  94,            0.038271,             0.13168,           0.0061609,             0.75486,             0.54254,              0.6629,             0.49867,            0.036274,            0.097993,           0.0098914,           0.0082483,           0.0082483,           0.0082483
                  95,            0.038526,             0.13726,           0.0061468,             0.81693,             0.55485,             0.67391,             0.51031,            0.034439,            0.093689,            0.010675,           0.0082136,           0.0082136,           0.0082136
                  96,            0.038148,             0.13643,           0.0062106,             0.66086,             0.59753,             0.67262,             0.50331,            0.035294,            0.096088,           0.0099216,           0.0081786,           0.0081786,           0.0081786
                  97,            0.037928,             0.13176,           0.0060372,             0.75626,             0.58605,             0.65112,             0.49545,            0.034916,            0.093879,            0.010363,           0.0081433,           0.0081433,           0.0081433
                  98,            0.038382,             0.13438,           0.0060283,             0.77921,             0.55291,              0.6539,             0.48044,            0.035838,            0.096293,            0.010376,           0.0081078,           0.0081078,           0.0081078
                  99,            0.038173,             0.13285,           0.0060396,             0.81572,             0.63833,             0.71262,             0.54106,             0.03559,            0.096394,            0.010669,           0.0080721,           0.0080721,           0.0080721
                 100,            0.037549,             0.13295,           0.0059126,             0.76496,             0.63265,             0.71442,             0.54557,            0.035815,            0.095843,             0.01007,           0.0080362,           0.0080362,           0.0080362
                 101,            0.037978,             0.13281,             0.00586,             0.75414,             0.66383,             0.70653,              0.5413,            0.035447,            0.095917,             0.01011,               0.008,               0.008,               0.008
                 102,            0.037189,             0.13049,           0.0058725,             0.74277,             0.68686,             0.65722,             0.50222,            0.034271,            0.094404,           0.0099591,           0.0079636,           0.0079636,           0.0079636
                 103,            0.037807,             0.13047,           0.0058628,             0.78016,             0.59537,             0.62853,             0.48422,            0.034458,            0.096147,            0.011115,            0.007927,            0.007927,            0.007927
                 104,            0.038032,             0.13192,           0.0057888,             0.77891,              0.6062,             0.68719,             0.51492,             0.03472,             0.09608,            0.010405,           0.0078902,           0.0078902,           0.0078902
                 105,            0.038009,             0.13138,           0.0058567,             0.79944,             0.59753,             0.71946,             0.53505,            0.034712,            0.095697,            0.010625,           0.0078532,           0.0078532,           0.0078532
                 106,            0.036687,             0.12842,           0.0056283,              0.7393,             0.64785,             0.70822,             0.51931,             0.03493,            0.094843,            0.010405,            0.007816,            0.007816,            0.007816
                 107,            0.038462,             0.13258,           0.0056718,             0.74232,             0.56356,             0.63203,             0.46464,            0.035507,            0.096337,            0.010322,           0.0077785,           0.0077785,           0.0077785
                 108,            0.036244,             0.12491,           0.0058077,             0.72658,             0.62651,             0.70468,             0.53077,            0.035408,            0.096675,            0.010415,           0.0077409,           0.0077409,           0.0077409
                 109,            0.037018,             0.12961,           0.0055185,              0.8224,             0.55734,             0.66409,             0.48331,            0.036192,            0.097761,           0.0099874,           0.0077031,           0.0077031,           0.0077031
                 110,            0.037046,             0.12759,           0.0057055,             0.74588,             0.60163,              0.6417,             0.48522,            0.035274,            0.095477,            0.009763,           0.0076651,           0.0076651,           0.0076651
